LOCATION,TIME,Value
BEL,2021,99.704958
BEL,2022,100.81307
CAN,1985,87.673945
CAN,1986,86.790989
CAN,1987,87.159153
CAN,1988,87.753097
CAN,1989,87.439322
CAN,1990,86.500983
CAN,1991,85.696824
CAN,1992,86.540717
CAN,1993,87.831525
CAN,1994,89.425745
CAN,1995,90.137313
CAN,1996,89.582015
CAN,1997,90.648693
CAN,1998,91.700977
CAN,1999,93.490353
CAN,2000,95.708955
CAN,2001,96.127281
CAN,2002,97.129609
CAN,2003,96.784115
CAN,2004,97.075894
CAN,2005,98.194981
CAN,2006,98.501622
CAN,2007,97.855107
CAN,2008,96.885582
CAN,2009,95.844742
CAN,2010,96.646049
CAN,2011,97.900613
CAN,2012,97.535449
CAN,2013,98.440479
CAN,2014,100.495984
CAN,2015,100.0
CAN,2016,100.398101
CAN,2017,101.918903
CAN,2018,102.216831
CAN,2019,102.479174
CAN,2020,106.129147
CAN,2021,103.292068
CAN,2022,102.883713
DNK,1985,86.538994
DNK,1986,87.590816
DNK,1987,87.51982
DNK,1988,87.607462
DNK,1989,87.83555
DNK,1990,88.872658
DNK,1991,89.759298
DNK,1992,90.385541
DNK,1993,90.702379
DNK,1994,95.016944
DNK,1995,95.637012
DNK,1996,96.801038
DNK,1997,96.731659
DNK,1998,95.766877
DNK,1999,95.892607
DNK,2000,97.186539
DNK,2001,96.008781
DNK,2002,95.639254
DNK,2003,95.945634
DNK,2004,97.879763
DNK,2005,98.578136
DNK,2006,99.39161
DNK,2007,98.717818
DNK,2008,96.508022
DNK,2009,93.741612
DNK,2010,96.196321
DNK,2011,96.447153
DNK,2012,97.3828
DNK,2013,97.760369
DNK,2014,98.847185
DNK,2015,100.0
DNK,2016,101.083241
DNK,2017,102.561762
DNK,2018,104.012731
DNK,2019,104.449755
DNK,2020,104.046913
DNK,2021,105.692315
DNK,2022,105.451876
FIN,1985,67.744879
FIN,1986,69.539304
FIN,1987,70.438636
FIN,1988,72.848678
FIN,1989,74.806645
FIN,1990,75.282488
FIN,1991,73.721537
FIN,1992,74.349568
FIN,1993,76.626253
FIN,1994,79.603076
FIN,1995,81.085619
FIN,1996,82.605626
FIN,1997,85.233488
FIN,1998,88.131367
FIN,1999,89.807334
FIN,2000,93.150403
FIN,2001,94.315039
FIN,2002,94.794325
FIN,2003,96.119948
FIN,2004,98.849077
FIN,2005,100.240635
FIN,2006,102.417369
FIN,2007,105.356384
FIN,2008,103.786407
FIN,2009,97.424397
FIN,2010,100.281614
FIN,2011,101.617171
FIN,2012,99.724293
FIN,2013,99.539645
FIN,2014,99.430132
FIN,2015,100.0
FIN,2016,102.246799
FIN,2017,104.644112
FIN,2018,103.630474
FIN,2019,103.540797
FIN,2020,102.667595
FIN,2021,103.646288
FIN,2022,105.021217
FRA,1985,81.710426
FRA,1986,82.765937
FRA,1987,83.077294
FRA,1988,85.074724
FRA,1989,87.154779
